filename,width,height,class,xmin,ymin,xmax,ymax
010700_jpg.rf.09f4051af8ae4b27a2e48805212327a6.jpg,416,416,2,262,234,315,276
030089_jpg.rf.09f443722641d1f6afd32506e891aef3.jpg,416,416,4,193,206,219,272
042996_jpg.rf.09fa6ea27e4110355c4cc9c938e71419.jpg,416,416,4,312,234,334,282
026599_jpg.rf.09fc5897793ada9bf74f8a670189dfe2.jpg,416,416,3,177,221,216,298
010332_jpg.rf.0a29acde872d20147a2f98f2354878a7.jpg,416,416,2,239,130,254,221
009375_jpg.rf.0a2b5762652e438de86b82bc80304ff8.jpg,416,416,2,238,176,262,261
010217_jpg.rf.0a2e58478cc7da8e2c5bef94c8073d5e.jpg,416,416,2,318,225,335,304
024818_jpg.rf.0a30717b9355bcf410f113b01ba73b9a.jpg,416,416,0,273,182,320,240
039865_jpg.rf.0a47d9854eb533e0104b9b88d0e4cf9c.jpg,416,416,4,183,111,219,142
030584_jpg.rf.0a48b5a952f4a78c398e778f2a3a3bd9.jpg,416,416,4,246,232,274,258
024261_jpg.rf.0a5a1bb79e1c3c0e29237bdfd3167dde.jpg,416,416,0,141,206,196,333
034943_jpg.rf.0a4594decf6aece7bfecc856d47305f8.jpg,416,416,1,239,194,263,217
030192_jpg.rf.0a66854f80679dea359567aa08db16f3.jpg,416,416,4,198,181,217,199
019147_jpg.rf.0a6014f23ce261a5d0a34d22c286002b.jpg,416,416,0,101,213,134,266
028318_jpg.rf.0a501069f3c2ab35ea76c142952fa662.jpg,416,416,3,128,159,147,225
009877_jpg.rf.0a361dfeccc5c88a4d9da0e25d94a93e.jpg,416,416,2,273,156,306,185
009931_jpg.rf.0a98c171a31c97074a29a829e1f5e3e4.jpg,416,416,2,230,124,253,150
010144_jpg.rf.0a70d38f011d0b446df679fde78a8337.jpg,416,416,2,164,226,180,261
027367_jpg.rf.0abe3e96132168f867c5ace51fe1e9ec.jpg,416,416,3,137,180,156,259
031227_jpg.rf.0ace9bc2c464aaee231c478ff735de83.jpg,416,416,1,239,178,276,199
027768_jpg.rf.0ac8587c098b756b9f85e3464264410f.jpg,416,416,3,195,192,265,229
038416_jpg.rf.0ad4e3ff030772d9fc56ca32cbf0a3ae.jpg,416,416,4,153,193,174,224
025444_jpg.rf.0aff3e33333ac0651f9cd74d7308c343.jpg,416,416,0,101,161,144,259
009480_jpg.rf.0ae733c6c3702c8320da34702132db24.jpg,416,416,2,170,138,195,247
034064_jpg.rf.0b330d33f84118ede72b79e87615b970.jpg,416,416,1,268,205,318,218
037758_jpg.rf.0b20334cdccb0b2f05b12c50d2ff23ca.jpg,416,416,1,257,101,314,135
033475_jpg.rf.0b43fda047697f3ec734823bfc86589d.jpg,416,416,4,278,175,298,228
010816_jpg.rf.0b1edc680e93eb4b91ad59e32c473b7d.jpg,416,416,2,257,215,279,265
018586_jpg.rf.0b1c0a0facdbfdf275effb1830a9190e.jpg,416,416,0,214,181,252,286
038389_jpg.rf.0af76cae2fa452fae37cbcdbd51aca90.jpg,416,416,1,261,166,299,187
041467_jpg.rf.0b2eedd8163570c1c911daf4e87c71ed.jpg,416,416,1,190,141,211,156
036580_jpg.rf.0b6f111ceb8a085a0dbcd4c6f1d7f551.jpg,416,416,4,248,187,270,241
018592_jpg.rf.0b5820d1d4e8e3983a3296d0abfffeb3.jpg,416,416,0,178,134,213,194
