filename,width,height,class,xmin,ymin,xmax,ymax
010700_jpg.rf.09f4051af8ae4b27a2e48805212327a6.jpg,224,224,2,141,126,169,148
030089_jpg.rf.09f443722641d1f6afd32506e891aef3.jpg,224,224,4,103,110,117,146
042996_jpg.rf.09fa6ea27e4110355c4cc9c938e71419.jpg,224,224,4,168,126,179,151
026599_jpg.rf.09fc5897793ada9bf74f8a670189dfe2.jpg,224,224,3,95,119,116,160
010332_jpg.rf.0a29acde872d20147a2f98f2354878a7.jpg,224,224,2,128,69,136,119
009375_jpg.rf.0a2b5762652e438de86b82bc80304ff8.jpg,224,224,2,128,94,141,140
010217_jpg.rf.0a2e58478cc7da8e2c5bef94c8073d5e.jpg,224,224,2,171,121,180,163
024818_jpg.rf.0a30717b9355bcf410f113b01ba73b9a.jpg,224,224,0,147,97,172,129
039865_jpg.rf.0a47d9854eb533e0104b9b88d0e4cf9c.jpg,224,224,4,98,59,117,76
030584_jpg.rf.0a48b5a952f4a78c398e778f2a3a3bd9.jpg,224,224,4,132,124,147,138
024261_jpg.rf.0a5a1bb79e1c3c0e29237bdfd3167dde.jpg,224,224,0,75,110,105,179
034943_jpg.rf.0a4594decf6aece7bfecc856d47305f8.jpg,224,224,1,128,104,141,116
030192_jpg.rf.0a66854f80679dea359567aa08db16f3.jpg,224,224,4,106,97,116,107
019147_jpg.rf.0a6014f23ce261a5d0a34d22c286002b.jpg,224,224,0,54,114,72,143
028318_jpg.rf.0a501069f3c2ab35ea76c142952fa662.jpg,224,224,3,68,85,79,121
009877_jpg.rf.0a361dfeccc5c88a4d9da0e25d94a93e.jpg,224,224,2,147,83,164,99
009931_jpg.rf.0a98c171a31c97074a29a829e1f5e3e4.jpg,224,224,2,123,66,136,80
010144_jpg.rf.0a70d38f011d0b446df679fde78a8337.jpg,224,224,2,88,121,96,140
027367_jpg.rf.0abe3e96132168f867c5ace51fe1e9ec.jpg,224,224,3,73,96,83,139
031227_jpg.rf.0ace9bc2c464aaee231c478ff735de83.jpg,224,224,1,128,95,148,107
027768_jpg.rf.0ac8587c098b756b9f85e3464264410f.jpg,224,224,3,105,103,142,123
038416_jpg.rf.0ad4e3ff030772d9fc56ca32cbf0a3ae.jpg,224,224,4,82,103,93,120
025444_jpg.rf.0aff3e33333ac0651f9cd74d7308c343.jpg,224,224,0,54,86,77,139
009480_jpg.rf.0ae733c6c3702c8320da34702132db24.jpg,224,224,2,91,74,105,133
034064_jpg.rf.0b330d33f84118ede72b79e87615b970.jpg,224,224,1,144,110,171,117
037758_jpg.rf.0b20334cdccb0b2f05b12c50d2ff23ca.jpg,224,224,1,138,54,169,72
033475_jpg.rf.0b43fda047697f3ec734823bfc86589d.jpg,224,224,4,149,94,160,122
010816_jpg.rf.0b1edc680e93eb4b91ad59e32c473b7d.jpg,224,224,2,138,115,150,142
